text;context;verse;predicate;form;lexeme;PoS;head;anim;semantics;number;role;case;marker;allomorph;postp;trajector;motion;dialect;area;year;period
E;"""Heuskara da kanpora eta goazen oro <danzara>.""";XV Archaic;joan;danzara;dantza;noun;dantza;inanim;;SG;Goal;allative;–ra;;;people;metaphoric;LN;E;1545;Archaic
E;"""Heuskara da <kanpora> eta goazen oro danzara.""";XV Archaic;izan;kanpora;kanpo;adv;kanpo;inanim;orientation;SG;Direction;allative;–ra;;;language;metaphoric;LN;E;1545;Archaic
E;"""Heuskara da kanpora eta goazen oro <danzara>.""";XV 19;joan;danzara;dantza;noun;dantza;inanim;;SG;Direction;allative;–ra;;;people;metaphoric;LN;E;1545;Archaic
E;"""Heuskara da <kanpora> eta goazen oro danzara.""";XV 19;izan;kanpora;kanpo;adv;kanpo;inanim;orientation;SG;Direction;allative;–ra;;;language;metaphoric;LN;E;1545;Archaic
E;"""Andere hona den <lekhura> ailtxa itzak begiak""";I 45;altxatu;lekhura;leku;noun;leku;inanim;area;SG;Goal;allative;–ra;;;body-part;metaphoric;LN;E;1545;Archaic
E;"""Ni <zugana> niatorkezu, bekhatore handia, karioki othoitzera zu zakiztan balia""";I 393;etorri;zugana;zu;pro;zu;human;human;SG;Goal;allative;–gana;–agana;;human;real;LN;E;1545;Archaic
E;"""Ni zugana niatorkezu, bekhatore handia, karioki <othoitzera> zu zakiztan balia""";I 393;etorri;othoitzera;otoitu;nmlz;otoitu;inanim;;SG;Purpose;allative;–ra;;;human;metaphoric;LN;E;1545;Archaic
E;"""digne ezpaniz <aipatzera> zure izen sainduia ez jitera aitzinera, zeren bainiz satsuia.""";I 394;digne_izan;aipatzera;aipatu;nmlz;aipatu;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""digne ezpaniz aipatzera zure izen sainduia ez <jitera> aitzinera, zeren bainiz satsuia.""";I 395;digne_izan;jitera;jin;nmlz;jin;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""digne ezpaniz aipatzera zure izen sainduia ez jitera <aitzinera>, zeren bainiz satsuia.""";I 395;jin;aitzinera;aitzin;adv;aitzin;inanim;orientation;SG;Goal;allative;–ra;;;human;real;LN;E;1545;Archaic
E;"""Uztazu <hurranzera>, amore maite, orai partitzeko damu ginate""";X Archaic;utzi;hurrantzera;hurrandu;nmlz;hurrandu;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""<irestera> aphaindurik ifernuia azpitik""";I 278;;irestera;irentsi;nmlz;irentsi;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""neure penen <erraitera> are eniz ausartzen""";V 9;ausartu;erraitera;erran;nmlz;erran;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""ene arima jalgiren da falta gabe <kanpora>""";XII 28;jalgi;kanpora;kanpo;adv;kanpo;inanim;orientation;SG;Direction;allative;–ra;;;spirit;real;LN;E;1545;Archaic
E;"""Orok <hara> behar dugu eskusatu gaberik.""";I 324;behar;hara;hara;adv;hara;inanim;deictic;SG;Goal;allative;–ra;;;people;real;LN;E;1545;Archaic
E;"""Orok <hara> behar dugu eskusatu gaberik.""";I 263;behar;hara;hara;adv;hara;inanim;deictic;SG;Goal;allative;–ra;;;people;real;LN;E;1545;Archaic
E;"""halaz kondemnatu zuten Jeinkoa ere <hiltzera>""";XIII 24;kondenatu;hiltzera;hil;nmlz;hil;inanim;;SG;Complement;allative;–ra;;;spirit;inanim;LN;E;1545;Archaic
E;"""finian ere eztik uzten hark <galtzera> beria""";II 72;utzi;galtzera;galdu;nmlz;galdu;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""Heuskara, jalgi adi <kanpora>.""";XIV Archaic;jalgi;kanpora;kanpo;adv;kanpo;inanim;orientation;SG;Direction;allative;–ra;;;language;metaphoric;LN;E;1545;Archaic
E;"""Heuskara, jalgi adi <plazara>.""";XIV 7;jalgi;plazara;plaza;noun;plaza;inanim;area;SG;Goal;allative;–ra;;;language;metaphoric;LN;E;1545;Archaic
E;"""Heuskara, jalgi adi <mundura>.""";XIV 13;jalgi;mundura;mundu;noun;mundu;inanim;area;SG;Goal;allative;–ra;;;language;metaphoric;LN;E;1545;Archaic
E;"""nola batere ezten asaiatu bere lengoaje propriaren faboretan heuskaraz zerbait obra <egitera> eta eskributan imeitera""";eskaintza;saiatu;egitera;egin;nmlz;egin;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""nola batere ezten asaiatu bere lengoaje propriaren faboretan heuskaraz zerbait obra egitera eta eskributan <imeitera>""";eskaintza;saiatu;imeitera;ipini;nmlz;ipini;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""zeren ladin publika <mundu guzietara> berze lengoajiak bezala hain eskribatzeko hon dela""";eskaintza;publikatu;guztietara;guzti;det;mundu;inanim;;PL;Goal;allative;–ra;;;abstract;metaphoric;LN;E;1545;Archaic
E;"""Heuskara, habil mundu <guzira>.""";XIV 19;ibili;guztira;guzti;det;mundu;inanim;;SG;Goal;allative;–ra;;;language;metaphoric;LN;E;1545;Archaic
E;"""<jujatzera> dauginian majestate handian""";I 337;jaugin;jujatzera;jujatu;nmlz;jujatu;inanim;;SG;Goal;allative;–ra;;;spirit;real;LN;E;1545;Archaic
E;"""orhit adi bertarik zenbait ere orazione <erraitera> debotki""";I 23;oroitu;erraitera;erran;nmlz;erran;inanim;;SG;Complement;allative;–ra;;;human;inanim;LN;E;1545;Archaic
E;"""obligatu giren guziak Jeinkoari <othoitz egitera>""";eskaintza;obligatu_izan;egitera;egin;nmlz;egin;inanim;;SG;Complement;allative;–ra;;;people;inanim;LN;E;1545;Archaic
E;"""Ni, gaixoa, etsaiari nihaur jin niz <eskura>""";XIII 19;jin;eskura;esku;noun;esku;inanim;body-part;SG;Goal;allative;–ra;;;human;metaphoric;LN;E;1545;Archaic
E;"""Ni, gaixoa, <etsaiari> nihaur jin niz eskura""";XIII 19;jin;etsaiari;etsai;noun;etsai;human;human;SG;Goal;dative;–ri;;;human;metaphoric;LN;E;1545;Archaic
